Filename,FieldName,FieldAlias,Type,Length,Scale
CJBXXD.shp,FID,FID,OID,4,0
CJBXXD.shp,Shape,Shape,Geometry,0,0
CJBXXD.shp,MBBSM,MBBSM,Integer,10,0
CJBXXD.shp,YSDM,YSDM,String,10,0
CJBXXD.shp,YSMC,YSMC,String,60,0
CJBXXD.shp,XZB,XZB,Double,15,4
CJBXXD.shp,YZB,YZB,Double,15,4
CJBXXM.shp,FID,FID,OID,4,0
CJBXXM.shp,Shape,Shape,Geometry,0,0
CJBXXM.shp,MBBSM,MBBSM,Integer,10,0
CJBXXM.shp,YSDM,YSDM,String,10,0
CJBXXM.shp,CPCSMC,CPCSMC,String,60,0
CJBXXM.shp,CPCSDM,CPCSDM,String,8,0
CJBXXM.shp,GZDYMJ,GZDYMJ,Double,15,4
CJBXXM.shp,CZRK,CZRK,Integer,8,0
CJBXXM.shp,SCCYRS,SCCYRS,Integer,8,0
CJBXXM.shp,GXXSZS,GXXSZS,Integer,8,0
CJBXXM.shp,XZBGRS,XZBGRS,Integer,8,0
CJBXXM.shp,DQSCZZ,DQSCZZ,Double,15,4
CJBXXM.shp,XFPLS,XFPLS,Double,15,4
CJBXXM.shp,GDZCYJ,GDZCYJ,Double,15,4
CJBXXM.shp,GYZCZ,GYZCZ,Double,15,4
CJBXXM.shp,GYLSZE,GYLSZE,Double,15,4
CJBXXM.shp,JSYDZMJ,JSYDZMJ,Double,15,4
CJBXXM.shp,JZYDMJ,JZYDMJ,Double,15,4
CJBXXM.shp,SYYDMJ,SYYDMJ,Double,15,4
